case_id,sample_idx,rmsd,energy,max_activation
pdk_3sc1_pdk_3nun,1605,6.185308346509259,-9191.551156655378,8.121267
pdk_3sc1_pdk_3nun,2243,6.206787568108393,-3681.450324571139,8.121267
pdk_3sc1_pdk_3nun,2759,6.2461316263808975,-539.0644849596579,8.080151
pdk_3sc1_pdk_3nun,1922,6.213954417842225,-9052.451394473464,7.9898796
pdk_3sc1_pdk_3nun,2711,6.004384909706528,-10782.976912192607,7.8714876
tryp_2bm2_tryp_3v7t,8488,10.51243406722292,10000.0,8.119549
tryp_2bm2_tryp_3v7t,8665,10.191912417941165,10000.0,8.108265
tryp_2bm2_tryp_3v7t,8809,9.22781365853738,10000.0,7.7498384
tryp_2bm2_tryp_3v7t,5224,7.865066220235969,10000.0,7.6915965
tryp_2bm2_tryp_3v7t,4632,7.628170122108067,10000.0,7.6785073
pim1_2xiz_pim1_4lmu,11868,5.744956440078395,-11265.815111829816,7.064351
pim1_2xiz_pim1_4lmu,12010,5.71894889595078,-11265.665197492275,7.036195
pim1_2xiz_pim1_4lmu,11285,5.3970580029029,-11257.819414228792,6.941144
pim1_2xiz_pim1_4lmu,11979,5.486462485743656,-11245.69139574168,6.908786
pim1_2xiz_pim1_4lmu,11249,5.606752193564943,-11247.415389895064,6.875725
rock1_4yvc_rock1_5wne,10404,11.891442604490518,-14184.841914189485,4.1732264
rock1_4yvc_rock1_5wne,6590,11.849615112736544,10000.0,3.9905455
rock1_4yvc_rock1_5wne,9967,11.417786757651395,-13892.460606186174,3.9545887
rock1_4yvc_rock1_5wne,10697,11.179693413694256,-14372.194006475587,3.9360945
rock1_4yvc_rock1_5wne,10497,11.943855162480398,10000.0,3.9109309
throm_1ae8_throm_1d9i,4812,5.792728484265555,10000.0,5.9464555
throm_1ae8_throm_1d9i,4491,6.313361230185925,10000.0,5.8997293
throm_1ae8_throm_1d9i,4531,5.611657171119894,10000.0,5.5072484
throm_1ae8_throm_1d9i,4858,8.773404267685057,10000.0,5.3569503
throm_1ae8_throm_1d9i,4400,7.35236270244065,10000.0,5.278787
pim1_4lmu_pim1_4bzo,2859,5.039200997175985,-10773.143135676994,4.2608852
pim1_4lmu_pim1_4bzo,1788,4.775481779593821,-10753.537477999154,4.1831255
pim1_4lmu_pim1_4bzo,1770,4.107618051931431,10000.0,3.699357
pim1_4lmu_pim1_4bzo,2582,4.109136752599628,10000.0,3.699357
pim1_4lmu_pim1_4bzo,2172,3.411578378027316,-10805.887653053593,3.699357
afab_2nnq_afab_3fr4,9826,5.649591218237277,-5392.308659767229,2.908864
afab_2nnq_afab_3fr4,10496,5.472009025617342,10000.0,2.8859873
afab_2nnq_afab_3fr4,9523,3.5479066317793064,10000.0,2.8239746
afab_2nnq_afab_3fr4,10213,5.553694185752709,10000.0,2.8134952
afab_2nnq_afab_3fr4,6693,4.529374704214264,10000.0,2.7599564
gsk3b_3sd0_gsk3b_4ach,12129,3.768766108845744,-5781.692370770892,3.426587
gsk3b_3sd0_gsk3b_4ach,6247,2.024848386252934,-12016.408470149054,3.2268052
gsk3b_3sd0_gsk3b_4ach,10556,11.972962778221117,10000.0,3.1367304
gsk3b_3sd0_gsk3b_4ach,10978,12.849481795104127,10000.0,3.0203946
gsk3b_3sd0_gsk3b_4ach,10916,11.954680888115446,10000.0,2.6690857
fxa_1wu1_fxa_1xkb,9099,7.129133644666953,10000.0,2.0557885
fxa_1wu1_fxa_1xkb,9067,2.638879310413912,-7709.217149536582,1.7896342
fxa_1wu1_fxa_1xkb,8570,7.080568999298916,10000.0,1.6327438
fxa_1wu1_fxa_1xkb,8532,6.7649611617130425,10000.0,1.5959406
fxa_1wu1_fxa_1xkb,7929,7.809026400439768,10000.0,1.5320096
pim1_3vbt_pim1_4lmu,9962,7.510077611238885,-1913.904746069172,1.8834445
pim1_3vbt_pim1_4lmu,509,3.5560185517218788,-10938.316766572736,1.8118422
pim1_3vbt_pim1_4lmu,738,3.991316695807871,10000.0,1.7557905
pim1_3vbt_pim1_4lmu,724,4.111082263840728,-10911.325408250132,1.7357471
pim1_3vbt_pim1_4lmu,9844,7.303115702332634,-10912.45273267122,1.6327946
ptp1b_1c84_ptp1b_2h4g,2680,4.823164148943362,10000.0,2.727575
ptp1b_1c84_ptp1b_2h4g,7731,3.3509867887922464,-12153.789681076169,2.7121632
ptp1b_1c84_ptp1b_2h4g,7504,5.898919752452579,10000.0,2.6432154
ptp1b_1c84_ptp1b_2h4g,8570,3.2463340303667434,-12310.492406004058,2.5690806
ptp1b_1c84_ptp1b_2h4g,8295,7.366606706867311,10000.0,2.5204508
throm_1gj5_throm_1d3d,11686,7.33055756887877,-8299.900152008042,2.7565646
throm_1gj5_throm_1d3d,11987,6.540092134735524,-8652.679713863427,2.495565
throm_1gj5_throm_1d3d,11727,6.961157627690971,-10098.16014789418,2.368504
throm_1gj5_throm_1d3d,11335,8.686768751773695,10000.0,2.259581
throm_1gj5_throm_1d3d,11402,5.843429692753698,-10113.75978265734,2.0665312
pde5_4md6_pde5_3shy,5330,2.935911930777156,-12848.418322796915,1.3577664
pde5_4md6_pde5_3shy,5777,5.073360277699253,10000.0,1.2303197
pde5_4md6_pde5_3shy,10842,2.9321525662431105,10000.0,1.1035674
pde5_4md6_pde5_3shy,11795,3.4297715416368133,10000.0,1.0046661
pde5_4md6_pde5_3shy,6573,3.2857265029101,-9949.889247801944,0.9953792
mdm2_3jzk_mdm2_4zyf,1525,14.314524529677096,10000.0,2.9430373
mdm2_3jzk_mdm2_4zyf,527,7.307547348155863,10000.0,2.862201
mdm2_3jzk_mdm2_4zyf,4111,7.72671548521885,10000.0,2.5964444
mdm2_3jzk_mdm2_4zyf,2819,11.165501294867305,10000.0,2.4702675
mdm2_3jzk_mdm2_4zyf,2864,12.228148572889824,10000.0,2.3765142
bace1_5clm_bace1_5ezx,853,2.2384462141962422,-14340.256764323874,3.0647643
bace1_5clm_bace1_5ezx,918,2.371330035345688,-14360.196622848967,3.0647643
bace1_5clm_bace1_5ezx,1392,5.185772205443656,10000.0,2.7162325
bace1_5clm_bace1_5ezx,8197,4.000678944503844,-14361.466653590704,1.4189112
bace1_5clm_bace1_5ezx,8883,3.615746433093737,-14346.943932820806,1.4189112
cdk2_1g5s_cdk2_2b55,4412,11.481294266731435,10000.0,4.7034607
cdk2_1g5s_cdk2_2b55,4346,4.24843247049173,10000.0,2.704839
cdk2_1g5s_cdk2_2b55,3923,5.825080962105759,-10127.827043970396,2.567139
cdk2_1g5s_cdk2_2b55,4355,5.827116454291883,-10144.048472985363,2.567139
cdk2_1g5s_cdk2_2b55,4593,12.242585249723575,10000.0,2.431206
chk1_2brb_chk1_2hxl,3736,4.088995153888663,-10850.646881647444,1.9964974
chk1_2brb_chk1_2hxl,3915,4.094841041263634,-10857.766624076068,1.9002154
chk1_2brb_chk1_2hxl,3369,4.109734737592675,-10861.790126444484,1.8522127
chk1_2brb_chk1_2hxl,4143,4.066639593081815,-10835.09189160753,1.7940161
hivrt_2b5j_hivrt_1c0u,4826,3.5366805897704805,-34734.93719042102,2.804714
hivrt_2b5j_hivrt_1c0u,5295,4.175803851484386,-36364.67752424042,0.96624494
chk1_2c3k_chk1_2cgu,10505,3.772566941360129,-10471.934377698502,1.7898626
chk1_2c3k_chk1_2cgu,1692,3.5642448559445734,-10439.242160469654,1.3468392
chk1_2c3k_chk1_2cgx,9650,8.053521988417286,10000.0,2.6265256
